question	category	explanation	synonym	correct_option	options
Choose the synonym of the following words:  need, want	easy	to need for a specific purpose, to set as the minimum	require	0	['require', 'relevant', 'sufficient', 'respond']
Choose the synonym of the following words:  demonstrate, exemplify	easy	to explain with an example or picture	illustrate	3	['participate', 'restrict', 'focus', 'illustrate']
Choose the synonym of the following words:  means, procedure	easy	how to do something, a process	method	2	['culture', 'major', 'method', 'function']
Choose the synonym of the following words:  explore, inspect, interrogate	easy	to try to find answers to questions about something, to research	investigate	0	['investigate', 'sufficient', 'acquire', 'adjust']
Choose the synonym of the following words:  basic, important	easy	basic, central, extremely important	fundamental	3	['evident', 'specify', 'select', 'fundamental']
Choose the synonym of the following words:  enough, adequate	easy	enough in amount for what is needed	sufficient	3	['available', 'data', 'significant', 'sufficient']
Choose the synonym of the following words:  absorb, use, eat, drink	easy	to eat, to use up (a resource)	consume	3	['achieve', 'constant', 'research', 'consume']
Choose the synonym of the following words:  difference	easy	to be clearly different from, to look specifically at the differences between two things.	contrast	3	['acquire', 'nevertheless', 'maximize', 'contrast']
Choose the synonym of the following words:  information, facts, statistics	easy	information, facts	data	0	['data', 'overall', 'indicate', 'relevant']
Choose the synonym of the following words:  framework, circumstances	easy	the information or situation around an idea , event , or something that is said	context	1	['contact', 'context', 'substitute', 'resource']
Choose the synonym of the following words:  list, record	easy	to put your name or other information in a list for something, to identify on a tool for measuring	register	1	['evaluate', 'register', 'research', 'transfer']
Choose the synonym of the following words:  for that reason, therefore	easy	therefore, so, as a result	hence	2	['accurate', 'previous', 'hence', 'theory']
Choose the synonym of the following words:  idea	easy	an abstract idea	concept	1	['region', 'concept', 'demonstrate', 'hence']
Choose the synonym of the following words:  alternative	easy	to put something else in the same place, something that goes in the place of the normal thing	substitute	0	['substitute', 'assist', 'assume', 'function']
Choose the synonym of the following words:  although, as, because	easy	although (used to contrast two different things)	whereas	3	['investigate', 'focus', 'imply', 'whereas']
Choose the synonym of the following words:  way, means of arriving	easy	to move closer to something or someone, a way to do something	approach	1	['period', 'approach', 'concept', 'expand']
Choose the synonym of the following words:  stress, give priority to	easy	to place extra importance on one part	emphasize	2	['section', 'assist', 'emphasize', 'significant']
