question	category	word	correct_option	options
Fill the gaps:  ______ means to need. You ______ food, water, and shelter to live, but do you really ______ that new pair of high-fashion shoes?	easy	require	0	['require', 'participate', 'access', 'remove']
Fill the gaps:  To ______ is to make something more clear or visible. Children's books are ______d with pictures. An example can ______ an abstract idea.	easy	illustrate	3	['analyze', 'demonstrate', 'mental', 'illustrate']
Fill the gaps:  There's a certain way of doing things. A systematic, logical process for accomplishing a task. And it's called a ______.	easy	method	3	['adjust', 'concept', 'establish', 'method']
Fill the gaps:  To ______ is to look into something systematically. If you don't understand how tornadoes work, for example, ______ the forces of wind and find out.	easy	investigate	3	['achieve', 'specify', 'evaluate', 'investigate']
Fill the gaps:  When asked what the ______, or essential, principles of life are, a teenager might reply, "Breathe. Be a good friend. Eat chocolate."	easy	fundamental	3	['context', 'accurate', 'substitute', 'fundamental']
Fill the gaps:  If you have a ______ amount of something, it's enough — not too much, not too little, just right.	easy	sufficient	0	['sufficient', 'section', 'obvious', 'relevant']
Fill the gaps:  "The Freshman 15" describes freshman-year college students who gain about fifteen pounds because they ______ way too much lousy dorm food all day long.	easy	consume	3	['maximize', 'furthermore', 'assist', 'consume']
Fill the gaps:  The verb ______ means to show a difference, like photos that reveal how much weight someone lost by doing a ______ between the "before" and "after" shots.	easy	contrast	1	['physical', 'contrast', 'context', 'rely']
Fill the gaps:  ______ is information such as facts and numbers used to analyze something or make decisions. Computer ______ is information in a form that can be processed by a computer.	easy	data	1	['resource', 'data', 'major', 'investigate']
Fill the gaps:  ______ means the setting of a word or event. If your friend is furious at you for calling her your worst enemy, remind her that the ______ of those remarks was Opposite Day.	easy	context	1	['investigate', 'context', 'major', 'respond']
Fill the gaps:  ______ has several meanings, but one of the most common is to write down or record officially. Like to  ______ for classes at the beginning of a semester.	easy	register	0	['register', 'circumstance', 'data', 'whereas']
Fill the gaps:  ______ means "for this reason," or "therefore." One Hollywood starlet is a huge fan of tiny dogs, ______ the Pomeranian puppy peeking out of her purse.	easy	hence	0	['hence', 'analyze', 'feature', 'major']
Fill the gaps:  A ______ is a thought or idea. If you're redecorating your bedroom, you might want to start with a ______, such as "flower garden," or, if that's too femme, "black hole in outer space."	easy	concept	1	['minor', 'concept', 'specify', 'lecture']
Fill the gaps:  Something or someone that takes the place of another is said to be a ______. You may be sent into a game as a ______ for an injured player, or you might ______ chocolate chips for blueberries in a pancake recipe.	easy	substitute	1	['mental', 'substitute', 'adjust', 'indicate']
Fill the gaps:  To ______ is to get near something. An airplane is cleared for a final ______ just as the wheels ______ the landing strip.	easy	approach	1	['assume', 'approach', 'major', 'consume']
Fill the gaps:  To ______ is to make something important, or stress it, like when you were little and your parents would always ______ the importance of looking both ways before crossing the street. They told you again and again and again. And again.	easy	emphasize	2	['illustrate', 'specify', 'emphasize', 'primary']
Fill the gaps:  To ______ means to point something out or to present evidence. If you feel sick during a car trip, you can ______ this to the driver by groaning loudly or announcing "I'm going to be sick!"	easy	indicate	0	['indicate', 'assume', 'major', 'function']
Fill the gaps:  When you have a ______, you have a set of beliefs or principles that might not be proven yet. Does anyone have a good ______ for where missing socks go when you do laundry?	easy	theory	0	['theory', 'label', 'circumstance', 'nevertheless']
Fill the gaps:  Something ______ is short and to the point. If you make a ______ visit, you don't stay long. If you make a ______ statement, you use few words. If you wear ______ shorts, you are showing a little too much leg.	easy	brief	2	['fundamental', 'theory', 'brief', 'section']
Fill the gaps: A ____ is what's popular at a certain point in time. While a ____ usually refers to a certain style in fashion or entertainment, there could be a ____ toward warmer temperatures (if people are following ____ associated with global warming).	easy	trend	1	['consequence', 'trend', 'evident', 'label']
Fill the gaps:  An _____ is a specific example or case of something. One _____ of being chased by a growling dog can make a person spend his whole life being afraid of animals.	easy	instances	3	['nevertheless', 'approach', 'indicate', 'instances']
Fill the gaps:  ______ is used as a preposition when something happens even though it might have been prevented by something else. You might go see a movie ______ hearing a review calling it worse than "Showgirls" and "Ishtar" combined.	easy	despite	0	['despite', 'primary', 'emphasize', 'modify']
Fill the gaps:  In science, a ______ is an idea or explanation that you then test through study and experimentation. Outside science, a theory or guess can also be called a ______.	easy	hypothesis	1	['participate', 'hypothesis', 'lecture', 'involve']
Fill the gaps:  When your teacher stands up in front of you and teaches by talking about the latest chapter you've read or explaining how to do a new math problem - he is giving a ______.	easy	lecture	1	['assess', 'lecture', 'approach', 'restrict']
Fill the gaps:  Before you try to sell your car, you should ask an expert to ______ its value––once you know what it's worth, it's easier to find a fair price. When you ______ a matter, you make a judgment about it.	easy	assess	3	['transfer', 'context', 'comment', 'assess']
Fill the gaps:  The word ______ is about pressure, whether it's pressure on a syllable of a word, an object (the bridge is designed to handle the ______ of the cars), or a person (I am under a lot of ______).	easy	stress	0	['stress', 'modify', 'period', 'involve']
