word,category,description,correct_option,options
require,easy,"to need for a specific purpose, to set as the minimum",1,"['looking at or including all pieces or factors, in general, for the most part', 'to need for a specific purpose, to set as the minimum', 'not very important, small in size', 'not changing and not stopping, continuous']"
illustrate,easy,to explain with an example or picture,3,"['not changing and not stopping, continuous', 'a plan to reach a specific goal, to predict the measurement of something, to throw (light, images)', 'an important characteristic, a property  to include as an important piece', 'to explain with an example or picture']"
method,easy,"how to do something, a process",2,"['a long speech about one topic that teaches, to give a long speech about a topic trying to teach', 'to look at, to think about, to give attention to, the center of attention, the most important part', 'how to do something, a process', 'to get (specially when you will continue to get more)']"
investigate,easy,"to try to find answers to questions about something, to research",0,"['to try to find answers to questions about something, to research', 'to place extra importance on one part, extra importance placed on one part, pressure/strain/tension', 'to look closely at and figure out the value or type of something', 'even with (when an event is surprising because of some difficulty)']"
fundamental,easy,"basic, central, extremely important",1,"['the ability to go into, to reach (when able to or allowed to enter)', 'basic, central, extremely important', 'however, regardless', 'an abstract idea']"
sufficient,easy,enough in amount for what is needed,2,"['to look closely at and figure out the value or type of something', 'to eat, to use up (a resource)', 'enough in amount for what is needed', 'to say no to something offered , to refuse or decline']"
consume,easy,"to eat, to use up (a resource)",3,"['to limit, to make some actions impossible', 'to form an idea of the amount, number, or value of something', 'to depend on, to need in order to continue well', 'to eat, to use up (a resource)']"
contrast,easy,"to be clearly different from, to look specifically at the differences between two things.",3,"['single or separated, only one of', 'to eat, to use up (a resource)', 'a plan of action to reach a desired goal', 'to be clearly different from, to look specifically at the differences between two things.']"
data,easy,"information, facts",3,"['enough in amount for what is needed', 'a name or phrase given to a group of things to identify them (often negative)', 'to put your name or other information in a list for something, to identify on a tool for measuring', 'information, facts']"
context,easy,"the information or situation around an idea , event , or something that is said",0,"['the information or situation around an idea , event , or something that is said', 'the direction or way in which something is changing', 'to choose, chosen as the best from a group', 'to try to understand something better by closely looking at its details']"
register,easy,"to put your name or other information in a list for something, to identify on a tool for measuring",1,"['how to do something, a process', 'to put your name or other information in a list for something, to identify on a tool for measuring', 'to put something else in the same place, something that goes in the place of the normal thing', 'to make larger, to give more detail on a subject']"
hence,easy,"therefore, so, as a result",2,"['to happen', 'even with (when an event is surprising because of some difficulty)', 'therefore, so, as a result', 'the direction or way in which something is changing']"
concept,easy,an abstract idea,0,"['an abstract idea', ""to work, to do what something should do, what something does , it's purpose"", 'to take away or take out', 'the information or situation around an idea , event , or something that is said']"
substitute,easy,"to put something else in the same place, something that goes in the place of the normal thing",3,"['even with (when an event is surprising because of some difficulty)', 'to answer, to react', 'to say no to something offered , to refuse or decline', 'to put something else in the same place, something that goes in the place of the normal thing']"
whereas,easy,although (used to contrast two different things),2,"['important or big enough that you should notice or pay attention', 'an abstract idea', 'although (used to contrast two different things)', 'the ability to go into, to reach (when able to or allowed to enter)']"
approach,easy,"to move closer to something or someone, a way to do something",1,"['to be a sign of , to show', 'to move closer to something or someone, a way to do something', 'to be a sign of, to show', 'good enough for what is needed']"
emphasize,easy,to place extra importance on one part,2,"['the way a group of people living in one area normally acts, talk to and act with each other', 'to communicate without saying specifically, to lead to (a conclusion)', 'to place extra importance on one part', 'clearly seen or understood, obvious']"
indicate,easy,"to be a sign of, to show",3,"['a name or phrase given to a group of things to identify them (often negative)', 'basic, central, extremely important', 'happening before the one happening now (of a thing, or date)', 'to be a sign of, to show']"
theory,easy,an idea or belief about how something works,0,"['an idea or belief about how something works', 'the way a group of people living in one area normally acts, talk to and act with each other', 'the ability to go into, to reach (when able to or allowed to enter)', 'to believe without proof']"
brief,easy,"short (about time, not length)",0,"['short (about time, not length)', 'however, regardless', 'an example, a case', 'to get (specially when you will continue to get more)']"
trend,easy,the direction or way in which something is changing,2,"['the situation, facts or environment around an event', 'to change, to make different, to have an effect', 'the direction or way in which something is changing', 'to name, to show or figure out what something is']"
instances,easy,"an example, a case",1,"['to look at, to think about, to give attention to, the center of attention, the most important part', 'an example, a case', 'information, facts', 'to put your name or other information in a list for something, to identify on a tool for measuring']"
despite,easy,even with (when an event is surprising because of some difficulty),3,"['to change or move a little and make better or more accurate', 'to show an example of , to prove with evidence', 'not changing and not stopping, continuous', 'even with (when an event is surprising because of some difficulty)']"
hypothesis,easy,an idea which explains something but is unproven,1,"['complicated, having many different parts and difficult to understand', 'an idea which explains something but is unproven', 'to continue, to keep alive, to keep in good state or condition', 'to help or aid']"
lecture,easy,"a long speech about one topic that teaches, to give a long speech about a topic trying to teach",2,"['the way a group of people living in one area normally acts, talk to and act with each other', 'to organize and manage (an event that takes careful planning and control)', 'a long speech about one topic that teaches, to give a long speech about a topic trying to teach', 'to find or search for more information about something, information collected about something']"
assess,easy,to look closely at and figure out the value or type of something,3,"['of the mind', 'something difficult, to suggest a fight or argument, to disagree or try to fight somebody', 'to look at, to think about, to give attention to, the center of attention, the most important part', 'to look closely at and figure out the value or type of something']"
stress,easy,"to place extra importance on one part, extra importance placed on one part, pressure/strain/tension",3,"['a range or amount of time', 'of the body (not the mind), concrete (something real that you can touch or feel)', 'to eat, to use up (a resource)', 'to place extra importance on one part, extra importance placed on one part, pressure/strain/tension']"
restrict,easy,"to limit, to make some actions impossible",3,"['to organize and manage (an event that takes careful planning and control)', 'easily understood or seen', 'to continue, to keep alive, to keep in good state or condition', 'to limit, to make some actions impossible']"
identify,easy,"to name, to show or figure out what something is",2,"['to limit, to make some actions impossible', 'an area of land', 'to name, to show or figure out what something is', 'information, facts']"
demonstrate,easy,"to show an example of , to prove with evidence",0,"['to show an example of , to prove with evidence', 'to build, to create (a system, organization, or idea)', 'to help or aid', 'important or big enough that you should notice or pay attention']"
assume,easy,to believe without proof,1,"['good enough for what is needed', 'to believe without proof', 'to organize and manage (an event that takes careful planning and control)', 'an idea or belief about how something works']"
analyze,easy,to try to understand something better by closely looking at its details,3,"['short (about time, not length)', 'very important, or large in size', ""to work, to do what something should do, what something does , it's purpose"", 'to try to understand something better by closely looking at its details']"
accurate,easy,"correct (about information, not opinions), on target",2,"['to say no to something offered , to refuse or decline', 'to pass from one person or thing to another', 'correct (about information, not opinions), on target', 'to agree, to decide, to solve a problem or argument']"
constant,easy,"not changing and not stopping, continuous",1,"['to move closer to something or someone, a way to do something', 'not changing and not stopping, continuous', 'happening before the one happening now (of a thing, or date)', 'one of a number of pieces which come together to create a whole']"
issue,easy,"a topic or situation to talk about, a problem",2,"['something difficult, to suggest a fight or argument, to disagree or try to fight somebody', 'a range or amount of time', 'a topic or situation to talk about, a problem', 'of the body (not the mind), concrete (something real that you can touch or feel)']"
indicate,easy,"to be a sign of , to show",2,"['to answer, to react', 'to move closer to something or someone, a way to do something', 'to be a sign of , to show', 'some saved material that can be used for a purpose (especially money, oil, or books)']"
modify,easy,to make small changes or add to,1,"['to find or search for more information about something, information collected about something', 'to make small changes or add to', 'the ability to go into, to reach (when able to or allowed to enter)', 'therefore, so, as a result']"
nevertheless,easy,"however, regardless",1,"['short (about time, not length)', 'however, regardless', 'some saved material that can be used for a purpose (especially money, oil, or books)', 'a plan to reach a specific goal, to predict the measurement of something, to throw (light, images)']"
overall,easy,"looking at or including all pieces or factors, in general, for the most part",3,"['to organize and manage (an event that takes careful planning and control)', 'to change, to make different, to have an effect', 'to explain with an example or picture', 'looking at or including all pieces or factors, in general, for the most part']"
predict,easy,to say something will happen in the future,1,"['important or big enough that you should notice or pay attention', 'to say something will happen in the future', 'how to do something, a process', 'even with (when an event is surprising because of some difficulty)']"
significant,easy,important or big enough that you should notice or pay attention,3,"['the situation, facts or environment around an event', 'to believe without proof', 'to look at, to think about, to give attention to, the center of attention, the most important part', 'important or big enough that you should notice or pay attention']"
function,easy,"to work, to do what something should do, what something does , it's purpose",0,"[""to work, to do what something should do, what something does , it's purpose"", 'to build, to create (a system, organization, or idea)', 'to be clearly different from, to look specifically at the differences between two things.', 'basic, central, extremely important']"
furthermore,easy,"also, in addition",3,"['to explain with an example or picture', 'an area of land', 'able to be reached, used, or bought', 'also, in addition']"
project,easy,"a plan to reach a specific goal, to predict the measurement of something, to throw (light, images)",1,"['to pass from one person or thing to another', 'a plan to reach a specific goal, to predict the measurement of something, to throw (light, images)', 'an observation or response, to say a short response or opinion about a given topic', 'to put your name or other information in a list for something, to identify on a tool for measuring']"
adequate,easy,good enough for what is needed,1,"['an important characteristic, a property  to include as an important piece', 'good enough for what is needed', 'the situation, facts or environment around an event', 'a range or amount of time']"
feature,easy,"an important characteristic, a property  to include as an important piece",0,"['an important characteristic, a property  to include as an important piece', 'a plan to reach a specific goal, to predict the measurement of something, to throw (light, images)', 'to look closely at and figure out the value or type of something', 'result, effect, what happens because of an event']"
select,easy,"to choose, chosen as the best from a group",3,"['to say which one or clearly point to which one', 'to be in or on a space, to fill a space', 'the way a group of people living in one area normally acts, talk to and act with each other', 'to choose, chosen as the best from a group']"
